step_id,case_id,step_name,step_status,performed_by,started_at,completed_at,notes,evidence_reference
CSE-01-CASE-0006-STP-3,CSE-01-CASE-0006,Forensic Step 3: Remediation Review,Completed,ANON-03,2026-08-03T09:59:00Z,2026-08-03T10:08:00Z,Completed analysis for step 3,HASH-SHA256-63
CSE-01-CASE-0006-STP-4,CSE-01-CASE-0006,Forensic Step 4: Artifact Capture,Completed,ANON-03,2026-08-03T10:04:00Z,2026-08-03T10:16:00Z,Completed analysis for step 4,HASH-SHA256-64
CSE-01-CASE-0007-STP-1,CSE-01-CASE-0007,Forensic Step 1: Memory Dump,Completed,ANON-04,2026-08-09T22:48:00Z,2026-08-09T22:51:00Z,Completed analysis for step 1,HASH-SHA256-71
CSE-01-CASE-0007-STP-2,CSE-01-CASE-0007,Forensic Step 2: Egress Inspection,Completed,ANON-04,2026-08-09T22:53:00Z,2026-08-09T22:59:00Z,Completed analysis for step 2,HASH-SHA256-72
CSE-01-CASE-0007-STP-3,CSE-01-CASE-0007,Forensic Step 3: Remediation Review,Completed,ANON-04,2026-08-09T22:58:00Z,2026-08-09T23:07:00Z,Completed analysis for step 3,HASH-SHA256-73
CSE-01-CASE-0008-STP-1,CSE-01-CASE-0008,Forensic Step 1: Memory Dump,Completed,ANON-01,2026-08-22T16:59:00Z,2026-08-22T17:02:00Z,Completed analysis for step 1,HASH-SHA256-81
CSE-01-CASE-0008-STP-2,CSE-01-CASE-0008,Forensic Step 2: Egress Inspection,Completed,ANON-01,2026-08-22T17:04:00Z,2026-08-22T17:10:00Z,Completed analysis for step 2,HASH-SHA256-82
CSE-01-CASE-0008-STP-3,CSE-01-CASE-0008,Forensic Step 3: Remediation Review,Completed,ANON-01,2026-08-22T17:09:00Z,2026-08-22T17:18:00Z,Completed analysis for step 3,HASH-SHA256-83
CSE-01-CASE-0008-STP-4,CSE-01-CASE-0008,Forensic Step 4: Artifact Capture,Completed,ANON-01,2026-08-22T17:14:00Z,2026-08-22T17:26:00Z,Completed analysis for step 4,HASH-SHA256-84
CSE-01-CASE-0008-STP-5,CSE-01-CASE-0008,Forensic Step 5: Memory Dump,Completed,ANON-01,2026-08-22T17:19:00Z,2026-08-22T17:34:00Z,Completed analysis for step 5,HASH-SHA256-85
CSE-01-CASE-0009-STP-1,CSE-01-CASE-0009,Forensic Step 1: Memory Dump,Completed,ANON-02,2026-08-24T15:20:00Z,2026-08-24T15:23:00Z,Completed analysis for step 1,HASH-SHA256-91
CSE-01-CASE-0009-STP-2,CSE-01-CASE-0009,Forensic Step 2: Egress Inspection,Completed,ANON-02,2026-08-24T15:25:00Z,2026-08-24T15:31:00Z,Completed analysis for step 2,HASH-SHA256-92
CSE-01-CASE-0009-STP-3,CSE-01-CASE-0009,Forensic Step 3: Remediation Review,Completed,ANON-02,2026-08-24T15:30:00Z,2026-08-24T15:39:00Z,Completed analysis for step 3,HASH-SHA256-93
CSE-01-CASE-0009-STP-4,CSE-01-CASE-0009,Forensic Step 4: Artifact Capture,Completed,ANON-02,2026-08-24T15:35:00Z,2026-08-24T15:47:00Z,Completed analysis for step 4,HASH-SHA256-94
CSE-01-CASE-0009-STP-5,CSE-01-CASE-0009,Forensic Step 5: Memory Dump,Completed,ANON-02,2026-08-24T15:40:00Z,2026-08-24T15:55:00Z,Completed analysis for step 5,HASH-SHA256-95
CSE-01-CASE-0010-STP-1,CSE-01-CASE-0010,Forensic Step 1: Memory Dump,Completed,ANON-03,2026-08-11T09:25:00Z,2026-08-11T09:28:00Z,Completed analysis for step 1,HASH-SHA256-101
CSE-01-CASE-0010-STP-2,CSE-01-CASE-0010,Forensic Step 2: Egress Inspection,Completed,ANON-03,2026-08-11T09:30:00Z,2026-08-11T09:36:00Z,Completed analysis for step 2,HASH-SHA256-102
CSE-01-CASE-0010-STP-3,CSE-01-CASE-0010,Forensic Step 3: Remediation Review,Completed,ANON-03,2026-08-11T09:35:00Z,2026-08-11T09:44:00Z,Completed analysis for step 3,HASH-SHA256-103
CSE-01-CASE-0011-STP-1,CSE-01-CASE-0011,Forensic Step 1: Memory Dump,Completed,ANON-04,2026-08-08T03:05:00Z,2026-08-08T03:08:00Z,Completed analysis for step 1,HASH-SHA256-111
CSE-01-CASE-0011-STP-2,CSE-01-CASE-0011,Forensic Step 2: Egress Inspection,Completed,ANON-04,2026-08-08T03:10:00Z,2026-08-08T03:16:00Z,Completed analysis for step 2,HASH-SHA256-112
CSE-01-CASE-0011-STP-3,CSE-01-CASE-0011,Forensic Step 3: Remediation Review,Completed,ANON-04,2026-08-08T03:15:00Z,2026-08-08T03:24:00Z,Completed analysis for step 3,HASH-SHA256-113
CSE-01-CASE-0011-STP-4,CSE-01-CASE-0011,Forensic Step 4: Artifact Capture,Completed,ANON-04,2026-08-08T03:20:00Z,2026-08-08T03:32:00Z,Completed analysis for step 4,HASH-SHA256-114
CSE-01-CASE-0012-STP-1,CSE-01-CASE-0012,Forensic Step 1: Memory Dump,Completed,ANON-01,2026-08-30T04:37:00Z,2026-08-30T04:40:00Z,Completed analysis for step 1,HASH-SHA256-121
CSE-01-CASE-0012-STP-2,CSE-01-CASE-0012,Forensic Step 2: Egress Inspection,Completed,ANON-01,2026-08-30T04:42:00Z,2026-08-30T04:48:00Z,Completed analysis for step 2,HASH-SHA256-122
CSE-01-CASE-0012-STP-3,CSE-01-CASE-0012,Forensic Step 3: Remediation Review,Completed,ANON-01,2026-08-30T04:47:00Z,2026-08-30T04:56:00Z,Completed analysis for step 3,HASH-SHA256-123
CSE-01-CASE-0012-STP-4,CSE-01-CASE-0012,Forensic Step 4: Artifact Capture,Completed,ANON-01,2026-08-30T04:52:00Z,2026-08-30T05:04:00Z,Completed analysis for step 4,HASH-SHA256-124
CSE-01-CASE-0012-STP-5,CSE-01-CASE-0012,Forensic Step 5: Memory Dump,Completed,ANON-01,2026-08-30T04:57:00Z,2026-08-30T05:12:00Z,Completed analysis for step 5,HASH-SHA256-125
CSE-01-CASE-0013-STP-1,CSE-01-CASE-0013,Forensic Step 1: Memory Dump,Completed,ANON-02,2026-08-19T22:08:00Z,2026-08-19T22:11:00Z,Completed analysis for step 1,HASH-SHA256-131
CSE-01-CASE-0013-STP-2,CSE-01-CASE-0013,Forensic Step 2: Egress Inspection,Completed,ANON-02,2026-08-19T22:13:00Z,2026-08-19T22:19:00Z,Completed analysis for step 2,HASH-SHA256-132
CSE-01-CASE-0013-STP-3,CSE-01-CASE-0013,Forensic Step 3: Remediation Review,Completed,ANON-02,2026-08-19T22:18:00Z,2026-08-19T22:27:00Z,Completed analysis for step 3,HASH-SHA256-133
CSE-01-CASE-0013-STP-4,CSE-01-CASE-0013,Forensic Step 4: Artifact Capture,Completed,ANON-02,2026-08-19T22:23:00Z,2026-08-19T22:35:00Z,Completed analysis for step 4,HASH-SHA256-134
CSE-01-CASE-0013-STP-5,CSE-01-CASE-0013,Forensic Step 5: Memory Dump,Completed,ANON-02,2026-08-19T22:28:00Z,2026-08-19T22:43:00Z,Completed analysis for step 5,HASH-SHA256-135
CSE-01-CASE-0014-STP-1,CSE-01-CASE-0014,Forensic Step 1: Memory Dump,Completed,ANON-03,2026-08-16T10:56:00Z,2026-08-16T10:59:00Z,Completed analysis for step 1,HASH-SHA256-141
CSE-01-CASE-0014-STP-2,CSE-01-CASE-0014,Forensic Step 2: Egress Inspection,Completed,ANON-03,2026-08-16T11:01:00Z,2026-08-16T11:07:00Z,Completed analysis for step 2,HASH-SHA256-142
CSE-01-CASE-0014-STP-3,CSE-01-CASE-0014,Forensic Step 3: Remediation Review,Completed,ANON-03,2026-08-16T11:06:00Z,2026-08-16T11:15:00Z,Completed analysis for step 3,HASH-SHA256-143
CSE-01-CASE-0014-STP-4,CSE-01-CASE-0014,Forensic Step 4: Artifact Capture,Completed,ANON-03,2026-08-16T11:11:00Z,2026-08-16T11:23:00Z,Completed analysis for step 4,HASH-SHA256-144
CSE-01-CASE-0014-STP-5,CSE-01-CASE-0014,Forensic Step 5: Memory Dump,Completed,ANON-03,2026-08-16T11:16:00Z,2026-08-16T11:31:00Z,Completed analysis for step 5,HASH-SHA256-145
CSE-01-CASE-0015-STP-1,CSE-01-CASE-0015,Forensic Step 1: Memory Dump,Completed,ANON-04,2026-08-15T03:19:00Z,2026-08-15T03:22:00Z,Completed analysis for step 1,HASH-SHA256-151
CSE-01-CASE-0015-STP-2,CSE-01-CASE-0015,Forensic Step 2: Egress Inspection,Completed,ANON-04,2026-08-15T03:24:00Z,2026-08-15T03:30:00Z,Completed analysis for step 2,HASH-SHA256-152
CSE-01-CASE-0015-STP-3,CSE-01-CASE-0015,Forensic Step 3: Remediation Review,Completed,ANON-04,2026-08-15T03:29:00Z,2026-08-15T03:38:00Z,Completed analysis for step 3,HASH-SHA256-153
CSE-01-CASE-0015-STP-4,CSE-01-CASE-0015,Forensic Step 4: Artifact Capture,Completed,ANON-04,2026-08-15T03:34:00Z,2026-08-15T03:46:00Z,Completed analysis for step 4,HASH-SHA256-154
CSE-01-CASE-0015-STP-5,CSE-01-CASE-0015,Forensic Step 5: Memory Dump,Completed,ANON-04,2026-08-15T03:39:00Z,2026-08-15T03:54:00Z,Completed analysis for step 5,HASH-SHA256-155
CSE-01-CASE-0016-STP-1,CSE-01-CASE-0016,Forensic Step 1: Memory Dump,Completed,ANON-01,2026-08-28T08:57:00Z,2026-08-28T09:00:00Z,Completed analysis for step 1,HASH-SHA256-161
CSE-01-CASE-0016-STP-2,CSE-01-CASE-0016,Forensic Step 2: Egress Inspection,Completed,ANON-01,2026-08-28T09:02:00Z,2026-08-28T09:08:00Z,Completed analysis for step 2,HASH-SHA256-162
CSE-01-CASE-0016-STP-3,CSE-01-CASE-0016,Forensic Step 3: Remediation Review,Completed,ANON-01,2026-08-28T09:07:00Z,2026-08-28T09:16:00Z,Completed analysis for step 3,HASH-SHA256-163
CSE-01-CASE-0017-STP-1,CSE-01-CASE-0017,Forensic Step 1: Memory Dump,Completed,ANON-02,2026-08-10T21:20:00Z,2026-08-10T21:23:00Z,Completed analysis for step 1,HASH-SHA256-171
CSE-01-CASE-0017-STP-2,CSE-01-CASE-0017,Forensic Step 2: Egress Inspection,Completed,ANON-02,2026-08-10T21:25:00Z,2026-08-10T21:31:00Z,Completed analysis for step 2,HASH-SHA256-172
CSE-01-CASE-0017-STP-3,CSE-01-CASE-0017,Forensic Step 3: Remediation Review,Completed,ANON-02,2026-08-10T21:30:00Z,2026-08-10T21:39:00Z,Completed analysis for step 3,HASH-SHA256-173
CSE-01-CASE-0017-STP-4,CSE-01-CASE-0017,Forensic Step 4: Artifact Capture,Completed,ANON-02,2026-08-10T21:35:00Z,2026-08-10T21:47:00Z,Completed analysis for step 4,HASH-SHA256-174
CSE-01-CASE-0017-STP-5,CSE-01-CASE-0017,Forensic Step 5: Memory Dump,Completed,ANON-02,2026-08-10T21:40:00Z,2026-08-10T21:55:00Z,Completed analysis for step 5,HASH-SHA256-175
CSE-01-CASE-0018-STP-1,CSE-01-CASE-0018,Forensic Step 1: Memory Dump,Completed,ANON-03,2026-08-05T04:34:00Z,2026-08-05T04:37:00Z,Completed analysis for step 1,HASH-SHA256-181
CSE-01-CASE-0018-STP-2,CSE-01-CASE-0018,Forensic Step 2: Egress Inspection,Completed,ANON-03,2026-08-05T04:39:00Z,2026-08-05T04:45:00Z,Completed analysis for step 2,HASH-SHA256-182
CSE-01-CASE-0018-STP-3,CSE-01-CASE-0018,Forensic Step 3: Remediation Review,Completed,ANON-03,2026-08-05T04:44:00Z,2026-08-05T04:53:00Z,Completed analysis for step 3,HASH-SHA256-183
CSE-01-CASE-0018-STP-4,CSE-01-CASE-0018,Forensic Step 4: Artifact Capture,Completed,ANON-03,2026-08-05T04:49:00Z,2026-08-05T05:01:00Z,Completed analysis for step 4,HASH-SHA256-184
CSE-01-CASE-0019-STP-1,CSE-01-CASE-0019,Forensic Step 1: Memory Dump,Completed,ANON-04,2026-08-25T13:40:00Z,2026-08-25T13:43:00Z,Completed analysis for step 1,HASH-SHA256-191
CSE-01-CASE-0019-STP-2,CSE-01-CASE-0019,Forensic Step 2: Egress Inspection,Completed,ANON-04,2026-08-25T13:45:00Z,2026-08-25T13:51:00Z,Completed analysis for step 2,HASH-SHA256-192
CSE-01-CASE-0019-STP-3,CSE-01-CASE-0019,Forensic Step 3: Remediation Review,Completed,ANON-04,2026-08-25T13:50:00Z,2026-08-25T13:59:00Z,Completed analysis for step 3,HASH-SHA256-193
CSE-01-CASE-0019-STP-4,CSE-01-CASE-0019,Forensic Step 4: Artifact Capture,Completed,ANON-04,2026-08-25T13:55:00Z,2026-08-25T14:07:00Z,Completed analysis for step 4,HASH-SHA256-194
CSE-01-CASE-0020-STP-1,CSE-01-CASE-0020,Forensic Step 1: Memory Dump,Completed,ANON-01,2026-08-01T12:08:00Z,2026-08-01T12:11:00Z,Completed analysis for step 1,HASH-SHA256-201
CSE-01-CASE-0020-STP-2,CSE-01-CASE-0020,Forensic Step 2: Egress Inspection,Completed,ANON-01,2026-08-01T12:13:00Z,2026-08-01T12:19:00Z,Completed analysis for step 2,HASH-SHA256-202
CSE-01-CASE-0020-STP-3,CSE-01-CASE-0020,Forensic Step 3: Remediation Review,Completed,ANON-01,2026-08-01T12:18:00Z,2026-08-01T12:27:00Z,Completed analysis for step 3,HASH-SHA256-203
CSE-01-CASE-0020-STP-4,CSE-01-CASE-0020,Forensic Step 4: Artifact Capture,Completed,ANON-01,2026-08-01T12:23:00Z,2026-08-01T12:35:00Z,Completed analysis for step 4,HASH-SHA256-204
CSE-01-CASE-0020-STP-5,CSE-01-CASE-0020,Forensic Step 5: Memory Dump,Completed,ANON-01,2026-08-01T12:28:00Z,2026-08-01T12:43:00Z,Completed analysis for step 5,HASH-SHA256-205
CSE-01-CASE-0021-STP-1,CSE-01-CASE-0021,Forensic Step 1: Memory Dump,Completed,ANON-02,2026-08-03T11:00:00Z,2026-08-03T11:03:00Z,Completed analysis for step 1,HASH-SHA256-211
CSE-01-CASE-0021-STP-2,CSE-01-CASE-0021,Forensic Step 2: Egress Inspection,Completed,ANON-02,2026-08-03T11:05:00Z,2026-08-03T11:11:00Z,Completed analysis for step 2,HASH-SHA256-212
CSE-01-CASE-0021-STP-3,CSE-01-CASE-0021,Forensic Step 3: Remediation Review,Completed,ANON-02,2026-08-03T11:10:00Z,2026-08-03T11:19:00Z,Completed analysis for step 3,HASH-SHA256-213
CSE-01-CASE-0021-STP-4,CSE-01-CASE-0021,Forensic Step 4: Artifact Capture,Completed,ANON-02,2026-08-03T11:15:00Z,2026-08-03T11:27:00Z,Completed analysis for step 4,HASH-SHA256-214
CSE-01-CASE-0021-STP-5,CSE-01-CASE-0021,Forensic Step 5: Memory Dump,Completed,ANON-02,2026-08-03T11:20:00Z,2026-08-03T11:35:00Z,Completed analysis for step 5,HASH-SHA256-215
CSE-01-CASE-0022-STP-1,CSE-01-CASE-0022,Forensic Step 1: Memory Dump,Completed,ANON-03,2026-08-17T01:25:00Z,2026-08-17T01:28:00Z,Completed analysis for step 1,HASH-SHA256-221
CSE-01-CASE-0022-STP-2,CSE-01-CASE-0022,Forensic Step 2: Egress Inspection,Completed,ANON-03,2026-08-17T01:30:00Z,2026-08-17T01:36:00Z,Completed analysis for step 2,HASH-SHA256-222
CSE-01-CASE-0022-STP-3,CSE-01-CASE-0022,Forensic Step 3: Remediation Review,Completed,ANON-03,2026-08-17T01:35:00Z,2026-08-17T01:44:00Z,Completed analysis for step 3,HASH-SHA256-223
CSE-01-CASE-0022-STP-4,CSE-01-CASE-0022,Forensic Step 4: Artifact Capture,Completed,ANON-03,2026-08-17T01:40:00Z,2026-08-17T01:52:00Z,Completed analysis for step 4,HASH-SHA256-224
CSE-01-CASE-0022-STP-5,CSE-01-CASE-0022,Forensic Step 5: Memory Dump,Completed,ANON-03,2026-08-17T01:45:00Z,2026-08-17T02:00:00Z,Completed analysis for step 5,HASH-SHA256-225
CSE-01-CASE-0023-STP-1,CSE-01-CASE-0023,Forensic Step 1: Memory Dump,Completed,ANON-04,2026-08-26T07:56:00Z,2026-08-26T07:59:00Z,Completed analysis for step 1,HASH-SHA256-231
CSE-01-CASE-0023-STP-2,CSE-01-CASE-0023,Forensic Step 2: Egress Inspection,Completed,ANON-04,2026-08-26T08:01:00Z,2026-08-26T08:07:00Z,Completed analysis for step 2,HASH-SHA256-232
CSE-01-CASE-0023-STP-3,CSE-01-CASE-0023,Forensic Step 3: Remediation Review,Completed,ANON-04,2026-08-26T08:06:00Z,2026-08-26T08:15:00Z,Completed analysis for step 3,HASH-SHA256-233
CSE-01-CASE-0023-STP-4,CSE-01-CASE-0023,Forensic Step 4: Artifact Capture,Completed,ANON-04,2026-08-26T08:11:00Z,2026-08-26T08:23:00Z,Completed analysis for step 4,HASH-SHA256-234
CSE-01-CASE-0024-STP-1,CSE-01-CASE-0024,Forensic Step 1: Memory Dump,Completed,ANON-01,2026-08-30T00:37:00Z,2026-08-30T00:40:00Z,Completed analysis for step 1,HASH-SHA256-241
CSE-01-CASE-0024-STP-2,CSE-01-CASE-0024,Forensic Step 2: Egress Inspection,Completed,ANON-01,2026-08-30T00:42:00Z,2026-08-30T00:48:00Z,Completed analysis for step 2,HASH-SHA256-242
CSE-01-CASE-0024-STP-3,CSE-01-CASE-0024,Forensic Step 3: Remediation Review,Completed,ANON-01,2026-08-30T00:47:00Z,2026-08-30T00:56:00Z,Completed analysis for step 3,HASH-SHA256-243
CSE-01-CASE-0025-STP-1,CSE-01-CASE-0025,Forensic Step 1: Memory Dump,Completed,ANON-02,2026-08-20T01:20:00Z,2026-08-20T01:23:00Z,Completed analysis for step 1,HASH-SHA256-251
CSE-01-CASE-0025-STP-2,CSE-01-CASE-0025,Forensic Step 2: Egress Inspection,Completed,ANON-02,2026-08-20T01:25:00Z,2026-08-20T01:31:00Z,Completed analysis for step 2,HASH-SHA256-252
CSE-01-CASE-0025-STP-3,CSE-01-CASE-0025,Forensic Step 3: Remediation Review,Completed,ANON-02,2026-08-20T01:30:00Z,2026-08-20T01:39:00Z,Completed analysis for step 3,HASH-SHA256-253
CSE-01-CASE-0026-STP-1,CSE-01-CASE-0026,Forensic Step 1: Memory Dump,Completed,ANON-03,2026-08-03T10:09:00Z,2026-08-03T10:12:00Z,Completed analysis for step 1,HASH-SHA256-261
CSE-01-CASE-0026-STP-2,CSE-01-CASE-0026,Forensic Step 2: Egress Inspection,Completed,ANON-03,2026-08-03T10:14:00Z,2026-08-03T10:20:00Z,Completed analysis for step 2,HASH-SHA256-262
CSE-01-CASE-0026-STP-3,CSE-01-CASE-0026,Forensic Step 3: Remediation Review,Completed,ANON-03,2026-08-03T10:19:00Z,2026-08-03T10:28:00Z,Completed analysis for step 3,HASH-SHA256-263
CSE-01-CASE-0026-STP-4,CSE-01-CASE-0026,Forensic Step 4: Artifact Capture,Completed,ANON-03,2026-08-03T10:24:00Z,2026-08-03T10:36:00Z,Completed analysis for step 4,HASH-SHA256-264
CSE-01-CASE-0026-STP-5,CSE-01-CASE-0026,Forensic Step 5: Memory Dump,Completed,ANON-03,2026-08-03T10:29:00Z,2026-08-03T10:44:00Z,Completed analysis for step 5,HASH-SHA256-265
CSE-01-CASE-0027-STP-1,CSE-01-CASE-0027,Forensic Step 1: Memory Dump,Completed,ANON-04,2026-08-16T14:49:00Z,2026-08-16T14:52:00Z,Completed analysis for step 1,HASH-SHA256-271
CSE-01-CASE-0027-STP-2,CSE-01-CASE-0027,Forensic Step 2: Egress Inspection,Completed,ANON-04,2026-08-16T14:54:00Z,2026-08-16T15:00:00Z,Completed analysis for step 2,HASH-SHA256-272
CSE-01-CASE-0027-STP-3,CSE-01-CASE-0027,Forensic Step 3: Remediation Review,Completed,ANON-04,2026-08-16T14:59:00Z,2026-08-16T15:08:00Z,Completed analysis for step 3,HASH-SHA256-273
CSE-01-CASE-0027-STP-4,CSE-01-CASE-0027,Forensic Step 4: Artifact Capture,Completed,ANON-04,2026-08-16T15:04:00Z,2026-08-16T15:16:00Z,Completed analysis for step 4,HASH-SHA256-274
CSE-01-CASE-0028-STP-1,CSE-01-CASE-0028,Forensic Step 1: Memory Dump,Completed,ANON-01,2026-08-26T21:24:00Z,2026-08-26T21:27:00Z,Completed analysis for step 1,HASH-SHA256-281
CSE-01-CASE-0028-STP-2,CSE-01-CASE-0028,Forensic Step 2: Egress Inspection,Completed,ANON-01,2026-08-26T21:29:00Z,2026-08-26T21:35:00Z,Completed analysis for step 2,HASH-SHA256-282
CSE-01-CASE-0028-STP-3,CSE-01-CASE-0028,Forensic Step 3: Remediation Review,Completed,ANON-01,2026-08-26T21:34:00Z,2026-08-26T21:43:00Z,Completed analysis for step 3,HASH-SHA256-283
CSE-01-CASE-0028-STP-4,CSE-01-CASE-0028,Forensic Step 4: Artifact Capture,Completed,ANON-01,2026-08-26T21:39:00Z,2026-08-26T21:51:00Z,Completed analysis for step 4,HASH-SHA256-284
CSE-01-CASE-0029-STP-1,CSE-01-CASE-0029,Forensic Step 1: Memory Dump,Completed,ANON-02,2026-08-16T07:09:00Z,2026-08-16T07:12:00Z,Completed analysis for step 1,HASH-SHA256-291
CSE-01-CASE-0029-STP-2,CSE-01-CASE-0029,Forensic Step 2: Egress Inspection,Completed,ANON-02,2026-08-16T07:14:00Z,2026-08-16T07:20:00Z,Completed analysis for step 2,HASH-SHA256-292
CSE-01-CASE-0029-STP-3,CSE-01-CASE-0029,Forensic Step 3: Remediation Review,Completed,ANON-02,2026-08-16T07:19:00Z,2026-08-16T07:28:00Z,Completed analysis for step 3,HASH-SHA256-293
CSE-01-CASE-0030-STP-1,CSE-01-CASE-0030,Forensic Step 1: Memory Dump,Completed,ANON-03,2026-08-08T14:20:00Z,2026-08-08T14:23:00Z,Completed analysis for step 1,HASH-SHA256-301
CSE-01-CASE-0030-STP-2,CSE-01-CASE-0030,Forensic Step 2: Egress Inspection,Completed,ANON-03,2026-08-08T14:25:00Z,2026-08-08T14:31:00Z,Completed analysis for step 2,HASH-SHA256-302
CSE-01-CASE-0030-STP-3,CSE-01-CASE-0030,Forensic Step 3: Remediation Review,Completed,ANON-03,2026-08-08T14:30:00Z,2026-08-08T14:39:00Z,Completed analysis for step 3,HASH-SHA256-303
CSE-01-CASE-0030-STP-4,CSE-01-CASE-0030,Forensic Step 4: Artifact Capture,Completed,ANON-03,2026-08-08T14:35:00Z,2026-08-08T14:47:00Z,Completed analysis for step 4,HASH-SHA256-304
CSE-01-CASE-0031-STP-1,CSE-01-CASE-0031,Forensic Step 1: Memory Dump,Completed,ANON-04,2026-08-15T16:09:00Z,2026-08-15T16:12:00Z,Completed analysis for step 1,HASH-SHA256-311
CSE-01-CASE-0031-STP-2,CSE-01-CASE-0031,Forensic Step 2: Egress Inspection,Completed,ANON-04,2026-08-15T16:14:00Z,2026-08-15T16:20:00Z,Completed analysis for step 2,HASH-SHA256-312
CSE-01-CASE-0031-STP-3,CSE-01-CASE-0031,Forensic Step 3: Remediation Review,Completed,ANON-04,2026-08-15T16:19:00Z,2026-08-15T16:28:00Z,Completed analysis for step 3,HASH-SHA256-313
