escalation_id,case_id,escalation_level,escalated_to,escalated_at,reason,acknowledged_at,resolved_at,status
CSE-02-ESC-0025,CSE-02-CASE-0025,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-14T20:00:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-14T20:10:00Z,2026-08-14T21:18:00Z,Resolved
CSE-02-ESC-0030,CSE-02-CASE-0030,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-02T00:32:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-02T00:42:00Z,2026-08-02T01:22:00Z,Resolved
CSE-02-ESC-0035,CSE-02-CASE-0035,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-08T07:50:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-08T08:00:00Z,2026-08-08T09:25:00Z,Resolved
CSE-02-ESC-0040,CSE-02-CASE-0040,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-16T10:56:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-16T11:06:00Z,2026-08-16T11:22:00Z,Resolved
CSE-02-ESC-0045,CSE-02-CASE-0045,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-14T23:04:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-14T23:14:00Z,2026-08-15T00:24:00Z,Resolved
CSE-02-ESC-0050,CSE-02-CASE-0050,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-13T16:52:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-13T17:02:00Z,2026-08-13T18:15:00Z,Resolved
CSE-02-ESC-0055,CSE-02-CASE-0055,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-22T21:12:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-22T21:22:00Z,2026-08-22T22:42:00Z,Resolved
CSE-02-ESC-0060,CSE-02-CASE-0060,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-14T10:34:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-14T10:44:00Z,2026-08-14T11:08:00Z,Resolved
CSE-02-ESC-0065,CSE-02-CASE-0065,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-12T02:08:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-12T02:18:00Z,2026-08-12T03:16:00Z,Resolved
CSE-02-ESC-0070,CSE-02-CASE-0070,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-21T06:45:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-21T06:55:00Z,2026-08-21T07:15:00Z,Resolved
CSE-02-ESC-0075,CSE-02-CASE-0075,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-22T13:30:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-22T13:40:00Z,2026-08-22T14:00:00Z,Resolved
CSE-02-ESC-0080,CSE-02-CASE-0080,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-10T09:13:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-10T09:23:00Z,2026-08-10T10:23:00Z,Resolved
CSE-02-ESC-0085,CSE-02-CASE-0085,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-10T00:11:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-10T00:21:00Z,2026-08-10T01:14:00Z,Resolved
CSE-02-ESC-0090,CSE-02-CASE-0090,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-05T09:22:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-05T09:32:00Z,2026-08-05T10:45:00Z,Resolved
CSE-02-ESC-0095,CSE-02-CASE-0095,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-04T05:33:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-04T05:43:00Z,2026-08-04T07:09:00Z,Resolved
CSE-02-ESC-0100,CSE-02-CASE-0100,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-05T07:24:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-05T07:34:00Z,2026-08-05T08:41:00Z,Resolved
CSE-02-ESC-0105,CSE-02-CASE-0105,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-18T03:47:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-18T03:57:00Z,2026-08-18T04:21:00Z,Resolved
CSE-02-ESC-0110,CSE-02-CASE-0110,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-02T17:58:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-02T18:08:00Z,2026-08-02T19:03:00Z,Resolved
CSE-02-ESC-0115,CSE-02-CASE-0115,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-06T08:00:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-06T08:10:00Z,2026-08-06T08:31:00Z,Resolved
CSE-02-ESC-0120,CSE-02-CASE-0120,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-08T20:58:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-08T21:08:00Z,2026-08-08T21:18:00Z,Resolved
CSE-02-ESC-0125,CSE-02-CASE-0125,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-11T14:11:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-11T14:21:00Z,2026-08-11T15:29:00Z,Resolved
CSE-02-ESC-0130,CSE-02-CASE-0130,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-26T04:51:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-26T05:01:00Z,2026-08-26T06:23:00Z,Resolved
CSE-02-ESC-0135,CSE-02-CASE-0135,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-20T23:52:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-21T00:02:00Z,2026-08-21T00:19:00Z,Resolved
CSE-02-ESC-0140,CSE-02-CASE-0140,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-20T05:29:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-20T05:39:00Z,2026-08-20T06:28:00Z,Resolved
CSE-02-ESC-0145,CSE-02-CASE-0145,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-06T03:44:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-06T03:54:00Z,2026-08-06T04:24:00Z,Resolved
CSE-02-ESC-0150,CSE-02-CASE-0150,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-18T12:05:00Z,Escalated high-impact Critical threat on CSE-02-AST-001,2026-08-18T12:15:00Z,2026-08-18T13:31:00Z,Resolved
CSE-04-ESC-0005,CSE-04-CASE-0005,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-27T07:37:00Z,Escalated high-impact Critical threat on CSE-04-AST-001,2026-08-27T07:47:00Z,2026-08-27T07:19:00Z,Resolved
CSE-04-ESC-0010,CSE-04-CASE-0010,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-23T00:34:00Z,Escalated high-impact Critical threat on CSE-04-AST-001,2026-08-23T00:44:00Z,2026-08-23T00:17:00Z,Resolved
CSE-04-ESC-0015,CSE-04-CASE-0015,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-01T17:56:00Z,Escalated high-impact Critical threat on CSE-04-AST-001,2026-08-01T18:06:00Z,2026-08-01T17:38:00Z,Resolved
CSE-04-ESC-0020,CSE-04-CASE-0020,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-22T11:31:00Z,Escalated high-impact Critical threat on CSE-04-AST-001,2026-08-22T11:41:00Z,2026-08-22T11:16:00Z,Resolved
CSE-04-ESC-0025,CSE-04-CASE-0025,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-20T15:34:00Z,Escalated high-impact Critical threat on CSE-04-AST-001,2026-08-20T15:44:00Z,2026-08-20T15:19:00Z,Resolved
CSE-04-ESC-0030,CSE-04-CASE-0030,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-19T23:25:00Z,Escalated high-impact Critical threat on CSE-04-AST-001,2026-08-19T23:35:00Z,2026-08-19T23:10:00Z,Resolved
CSE-04-ESC-0035,CSE-04-CASE-0035,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-26T05:06:00Z,Escalated high-impact Critical threat on CSE-04-AST-001,2026-08-26T05:16:00Z,2026-08-26T04:51:00Z,Resolved
CSE-04-ESC-0040,CSE-04-CASE-0040,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-08T08:08:00Z,Escalated high-impact Critical threat on CSE-04-AST-001,2026-08-08T08:18:00Z,2026-08-08T07:50:00Z,Resolved
CSE-04-ESC-0045,CSE-04-CASE-0045,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-10T13:02:00Z,Escalated high-impact Critical threat on CSE-04-AST-001,2026-08-10T13:12:00Z,2026-08-10T12:45:00Z,Resolved
CSE-04-ESC-0050,CSE-04-CASE-0050,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-19T00:28:00Z,Escalated high-impact Critical threat on CSE-04-AST-001,2026-08-19T00:38:00Z,2026-08-19T00:11:00Z,Resolved
CSE-04-ESC-0055,CSE-04-CASE-0055,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-24T04:05:00Z,Escalated high-impact Critical threat on CSE-04-AST-001,2026-08-24T04:15:00Z,2026-08-24T03:50:00Z,Resolved
CSE-04-ESC-0060,CSE-04-CASE-0060,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-11T15:44:00Z,Escalated high-impact Critical threat on CSE-04-AST-001,2026-08-11T15:54:00Z,2026-08-11T15:27:00Z,Resolved
CSE-05-ESC-0005,CSE-05-CASE-0005,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-10T08:52:00Z,Escalated high-impact Critical threat on CSE-05-AST-001,2026-08-10T09:02:00Z,2026-08-10T10:07:00Z,Resolved
CSE-05-ESC-0010,CSE-05-CASE-0010,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-21T18:56:00Z,Escalated high-impact Critical threat on CSE-05-AST-001,2026-08-21T19:06:00Z,2026-08-21T19:28:00Z,Resolved
CSE-05-ESC-0015,CSE-05-CASE-0015,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-06T07:06:00Z,Escalated high-impact Critical threat on CSE-05-AST-001,2026-08-06T07:16:00Z,2026-08-06T08:30:00Z,Resolved
CSE-05-ESC-0020,CSE-05-CASE-0020,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-13T18:43:00Z,Escalated high-impact Critical threat on CSE-05-AST-001,2026-08-13T18:53:00Z,2026-08-13T19:14:00Z,Resolved
CSE-05-ESC-0025,CSE-05-CASE-0025,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-05T16:39:00Z,Escalated high-impact Critical threat on CSE-05-AST-001,2026-08-05T16:49:00Z,2026-08-05T18:02:00Z,Resolved
CSE-05-ESC-0030,CSE-05-CASE-0030,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-11T13:45:00Z,Escalated high-impact Critical threat on CSE-05-AST-001,2026-08-11T13:55:00Z,2026-08-11T14:42:00Z,Resolved
CSE-05-ESC-0035,CSE-05-CASE-0035,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-20T23:57:00Z,Escalated high-impact Critical threat on CSE-05-AST-001,2026-08-21T00:07:00Z,2026-08-21T01:25:00Z,Resolved
CSE-05-ESC-0040,CSE-05-CASE-0040,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-12T20:49:00Z,Escalated high-impact Critical threat on CSE-05-AST-001,2026-08-12T20:59:00Z,2026-08-12T22:24:00Z,Resolved
CSE-05-ESC-0045,CSE-05-CASE-0045,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-09T00:31:00Z,Escalated high-impact Critical threat on CSE-05-AST-001,2026-08-09T00:41:00Z,2026-08-09T01:11:00Z,Resolved
CSE-05-ESC-0050,CSE-05-CASE-0050,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-14T03:45:00Z,Escalated high-impact Critical threat on CSE-05-AST-001,2026-08-14T03:55:00Z,2026-08-14T04:19:00Z,Resolved
CSE-05-ESC-0055,CSE-05-CASE-0055,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-05T13:40:00Z,Escalated high-impact Critical threat on CSE-05-AST-001,2026-08-05T13:50:00Z,2026-08-05T14:57:00Z,Resolved
CSE-05-ESC-0060,CSE-05-CASE-0060,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-04T17:09:00Z,Escalated high-impact Critical threat on CSE-05-AST-001,2026-08-04T17:19:00Z,2026-08-04T18:15:00Z,Resolved
CSE-06-ESC-0005,CSE-06-CASE-0005,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-06T07:15:00Z,Escalated high-impact Critical threat on CSE-06-AST-001,2026-08-06T07:25:00Z,2026-08-06T08:06:00Z,Resolved
CSE-06-ESC-0010,CSE-06-CASE-0010,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-14T14:51:00Z,Escalated high-impact Critical threat on CSE-06-AST-001,2026-08-14T15:01:00Z,2026-08-14T15:52:00Z,Resolved
CSE-06-ESC-0015,CSE-06-CASE-0015,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-21T11:05:00Z,Escalated high-impact Critical threat on CSE-06-AST-001,2026-08-21T11:15:00Z,2026-08-21T11:25:00Z,Resolved
CSE-06-ESC-0020,CSE-06-CASE-0020,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-13T07:33:00Z,Escalated high-impact Critical threat on CSE-06-AST-001,2026-08-13T07:43:00Z,2026-08-13T08:12:00Z,Resolved
CSE-06-ESC-0025,CSE-06-CASE-0025,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-21T10:10:00Z,Escalated high-impact Critical threat on CSE-06-AST-001,2026-08-21T10:20:00Z,2026-08-21T11:00:00Z,Resolved
CSE-06-ESC-0030,CSE-06-CASE-0030,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-22T01:54:00Z,Escalated high-impact Critical threat on CSE-06-AST-001,2026-08-22T02:04:00Z,2026-08-22T02:33:00Z,Resolved
CSE-06-ESC-0035,CSE-06-CASE-0035,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-18T07:36:00Z,Escalated high-impact Critical threat on CSE-06-AST-001,2026-08-18T07:46:00Z,2026-08-18T08:43:00Z,Resolved
CSE-06-ESC-0040,CSE-06-CASE-0040,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-13T12:31:00Z,Escalated high-impact Critical threat on CSE-06-AST-001,2026-08-13T12:41:00Z,2026-08-13T12:55:00Z,Resolved
CSE-06-ESC-0045,CSE-06-CASE-0045,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-20T00:09:00Z,Escalated high-impact Critical threat on CSE-06-AST-001,2026-08-20T00:19:00Z,2026-08-20T00:54:00Z,Resolved
CSE-06-ESC-0050,CSE-06-CASE-0050,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-06T05:12:00Z,Escalated high-impact Critical threat on CSE-06-AST-001,2026-08-06T05:22:00Z,2026-08-06T05:41:00Z,Resolved
CSE-06-ESC-0055,CSE-06-CASE-0055,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-24T03:22:00Z,Escalated high-impact Critical threat on CSE-06-AST-001,2026-08-24T03:32:00Z,2026-08-24T04:23:00Z,Resolved
CSE-06-ESC-0060,CSE-06-CASE-0060,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-01T10:32:00Z,Escalated high-impact Critical threat on CSE-06-AST-001,2026-08-01T10:42:00Z,2026-08-01T11:48:00Z,Resolved
CSE-07-ESC-0005,CSE-07-CASE-0005,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-20T00:40:00Z,Escalated high-impact Critical threat on CSE-07-AST-004,2026-08-20T00:50:00Z,2026-08-20T01:34:00Z,Resolved
CSE-07-ESC-0010,CSE-07-CASE-0010,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-07T23:54:00Z,Escalated high-impact Critical threat on CSE-07-AST-004,2026-08-08T00:04:00Z,2026-08-08T00:36:00Z,Resolved
CSE-07-ESC-0015,CSE-07-CASE-0015,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-07T07:47:00Z,Escalated high-impact Critical threat on CSE-07-AST-004,2026-08-07T07:57:00Z,2026-08-07T09:09:00Z,Resolved
CSE-07-ESC-0020,CSE-07-CASE-0020,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-29T11:12:00Z,Escalated high-impact Critical threat on CSE-07-AST-004,2026-08-29T11:22:00Z,2026-08-29T12:14:00Z,Resolved
CSE-07-ESC-0025,CSE-07-CASE-0025,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-04T10:41:00Z,Escalated high-impact Critical threat on CSE-07-AST-004,2026-08-04T10:51:00Z,2026-08-04T11:49:00Z,Resolved
CSE-07-ESC-0030,CSE-07-CASE-0030,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-12T08:47:00Z,Escalated high-impact Critical threat on CSE-07-AST-004,2026-08-12T08:57:00Z,2026-08-12T09:44:00Z,Resolved
CSE-07-ESC-0035,CSE-07-CASE-0035,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-22T20:11:00Z,Escalated high-impact Critical threat on CSE-07-AST-004,2026-08-22T20:21:00Z,2026-08-22T21:23:00Z,Resolved
CSE-07-ESC-0040,CSE-07-CASE-0040,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-24T10:25:00Z,Escalated high-impact Critical threat on CSE-07-AST-004,2026-08-24T10:35:00Z,2026-08-24T11:56:00Z,Resolved
CSE-07-ESC-0045,CSE-07-CASE-0045,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-06T03:58:00Z,Escalated high-impact Critical threat on CSE-07-AST-004,2026-08-06T04:08:00Z,2026-08-06T05:09:00Z,Resolved
CSE-07-ESC-0050,CSE-07-CASE-0050,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-17T13:24:00Z,Escalated high-impact Critical threat on CSE-07-AST-004,2026-08-17T13:34:00Z,2026-08-17T14:48:00Z,Resolved
CSE-07-ESC-0055,CSE-07-CASE-0055,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-02T14:14:00Z,Escalated high-impact Critical threat on CSE-07-AST-004,2026-08-02T14:24:00Z,2026-08-02T15:01:00Z,Resolved
CSE-07-ESC-0060,CSE-07-CASE-0060,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-18T06:13:00Z,Escalated high-impact Critical threat on CSE-07-AST-004,2026-08-18T06:23:00Z,2026-08-18T07:20:00Z,Resolved
CSE-08-ESC-0005,CSE-08-CASE-0005,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-06T07:36:00Z,Escalated high-impact Critical threat on CSE-08-AST-001,2026-08-06T07:46:00Z,2026-08-06T09:07:00Z,Resolved
CSE-09-ESC-0005,CSE-09-CASE-0005,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-05T11:44:00Z,Escalated high-impact Critical threat on CSE-09-AST-001,2026-08-05T11:54:00Z,2026-08-05T11:09:00Z,Resolved
CSE-09-ESC-0010,CSE-09-CASE-0010,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-20T09:58:00Z,Escalated high-impact Critical threat on CSE-09-AST-001,2026-08-20T10:08:00Z,2026-08-20T09:23:00Z,Resolved
CSE-09-ESC-0015,CSE-09-CASE-0015,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-23T21:38:00Z,Escalated high-impact Critical threat on CSE-09-AST-001,2026-08-23T21:48:00Z,2026-08-23T21:03:00Z,Resolved
CSE-09-ESC-0020,CSE-09-CASE-0020,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-23T04:30:00Z,Escalated high-impact Critical threat on CSE-09-AST-001,2026-08-23T04:40:00Z,2026-08-23T03:55:00Z,Resolved
CSE-09-ESC-0025,CSE-09-CASE-0025,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-30T08:17:00Z,Escalated high-impact Critical threat on CSE-09-AST-001,2026-08-30T08:27:00Z,2026-08-30T07:42:00Z,Resolved
CSE-09-ESC-0030,CSE-09-CASE-0030,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-11T15:41:00Z,Escalated high-impact Critical threat on CSE-09-AST-001,2026-08-11T15:51:00Z,2026-08-11T15:06:00Z,Resolved
CSE-09-ESC-0035,CSE-09-CASE-0035,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-28T22:41:00Z,Escalated high-impact Critical threat on CSE-09-AST-001,2026-08-28T22:51:00Z,2026-08-28T22:06:00Z,Resolved
CSE-09-ESC-0040,CSE-09-CASE-0040,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-22T05:57:00Z,Escalated high-impact Critical threat on CSE-09-AST-001,2026-08-22T06:07:00Z,2026-08-22T05:22:00Z,Resolved
CSE-09-ESC-0045,CSE-09-CASE-0045,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-18T19:05:00Z,Escalated high-impact Critical threat on CSE-09-AST-001,2026-08-18T19:15:00Z,2026-08-18T18:30:00Z,Resolved
CSE-09-ESC-0050,CSE-09-CASE-0050,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-22T16:29:00Z,Escalated high-impact Critical threat on CSE-09-AST-001,2026-08-22T16:39:00Z,2026-08-22T15:54:00Z,Resolved
CSE-09-ESC-0055,CSE-09-CASE-0055,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-07T17:48:00Z,Escalated high-impact Critical threat on CSE-09-AST-001,2026-08-07T17:58:00Z,2026-08-07T17:13:00Z,Resolved
CSE-09-ESC-0060,CSE-09-CASE-0060,Tier 3 Incident Response,National CERT / Incident Commander,2026-08-19T01:45:00Z,Escalated high-impact Critical threat on CSE-09-AST-001,2026-08-19T01:55:00Z,2026-08-19T01:10:00Z,Resolved
