asset_id,cse_id,asset_type,business_service,criticality,environment,owner,monitoring_expected,monitoring_source
CSE-02-AST-017,CSE-02,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-3,True,EDR-Falcon
CSE-02-AST-018,CSE-02,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-1,True,EDR-Falcon
CSE-02-AST-019,CSE-02,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-2,True,EDR-Falcon
CSE-02-AST-020,CSE-02,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-3,True,EDR-Falcon
CSE-02-AST-021,CSE-02,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-1,True,EDR-Falcon
CSE-02-AST-022,CSE-02,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-2,True,EDR-Falcon
CSE-02-AST-023,CSE-02,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-3,True,EDR-Falcon
CSE-02-AST-024,CSE-02,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-1,True,EDR-Falcon
CSE-02-AST-025,CSE-02,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-2,True,EDR-Falcon
CSE-02-AST-026,CSE-02,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-3,True,EDR-Falcon
CSE-02-AST-027,CSE-02,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-1,True,EDR-Falcon
CSE-02-AST-028,CSE-02,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-2,True,EDR-Falcon
CSE-02-AST-029,CSE-02,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-3,True,EDR-Falcon
CSE-02-AST-030,CSE-02,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-1,True,EDR-Falcon
CSE-03-AST-001,CSE-03,SCADA Controller,Core Transaction Engine,Critical,Production,Ops-Team-2,True,EDR-Falcon
CSE-03-AST-002,CSE-03,SCADA Controller,Core Transaction Engine,Critical,Production,Ops-Team-3,True,EDR-Falcon
CSE-03-AST-003,CSE-03,SCADA Controller,Core Transaction Engine,Critical,Production,Ops-Team-1,True,EDR-Falcon
CSE-03-AST-004,CSE-03,Database Server,Core Transaction Engine,Critical,Production,Ops-Team-2,True,EDR-Falcon
CSE-03-AST-005,CSE-03,Database Server,Core Transaction Engine,Critical,Production,Ops-Team-3,True,EDR-Falcon
CSE-03-AST-006,CSE-03,Database Server,Core Transaction Engine,High,Production,Ops-Team-1,True,EDR-Falcon
CSE-03-AST-007,CSE-03,Workstation,Core Transaction Engine,High,Production,Ops-Team-2,True,EDR-Falcon
CSE-03-AST-008,CSE-03,Workstation,Core Transaction Engine,High,Production,Ops-Team-3,True,EDR-Falcon
CSE-03-AST-009,CSE-03,Workstation,Core Transaction Engine,High,Production,Ops-Team-1,True,EDR-Falcon
CSE-03-AST-010,CSE-03,Workstation,Core Transaction Engine,High,Production,Ops-Team-2,True,EDR-Falcon
CSE-03-AST-011,CSE-03,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-3,True,EDR-Falcon
CSE-03-AST-012,CSE-03,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-1,True,EDR-Falcon
CSE-03-AST-013,CSE-03,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-2,True,EDR-Falcon
CSE-03-AST-014,CSE-03,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-3,True,EDR-Falcon
CSE-03-AST-015,CSE-03,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-1,True,EDR-Falcon
CSE-04-AST-001,CSE-04,SCADA Controller,Core Transaction Engine,Critical,Production,Ops-Team-2,True,EDR-Falcon
CSE-04-AST-002,CSE-04,SCADA Controller,Core Transaction Engine,Critical,Production,Ops-Team-3,True,EDR-Falcon
CSE-04-AST-003,CSE-04,SCADA Controller,Core Transaction Engine,Critical,Production,Ops-Team-1,True,EDR-Falcon
CSE-04-AST-004,CSE-04,Database Server,Core Transaction Engine,Critical,Production,Ops-Team-2,True,EDR-Falcon
CSE-04-AST-005,CSE-04,Database Server,Core Transaction Engine,Critical,Production,Ops-Team-3,True,EDR-Falcon
CSE-04-AST-006,CSE-04,Database Server,Core Transaction Engine,High,Production,Ops-Team-1,True,EDR-Falcon
CSE-04-AST-007,CSE-04,Workstation,Core Transaction Engine,High,Production,Ops-Team-2,True,EDR-Falcon
CSE-04-AST-008,CSE-04,Workstation,Core Transaction Engine,High,Production,Ops-Team-3,True,EDR-Falcon
CSE-04-AST-009,CSE-04,Workstation,Core Transaction Engine,High,Production,Ops-Team-1,True,EDR-Falcon
CSE-04-AST-010,CSE-04,Workstation,Core Transaction Engine,High,Production,Ops-Team-2,True,EDR-Falcon
CSE-04-AST-011,CSE-04,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-3,True,EDR-Falcon
CSE-04-AST-012,CSE-04,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-1,True,EDR-Falcon
CSE-04-AST-013,CSE-04,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-2,True,EDR-Falcon
CSE-04-AST-014,CSE-04,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-3,True,EDR-Falcon
CSE-04-AST-015,CSE-04,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-1,True,EDR-Falcon
CSE-05-AST-001,CSE-05,SCADA Controller,Core Transaction Engine,Critical,Production,Ops-Team-2,True,EDR-Falcon
CSE-05-AST-002,CSE-05,SCADA Controller,Core Transaction Engine,Critical,Production,Ops-Team-3,True,EDR-Falcon
CSE-05-AST-003,CSE-05,SCADA Controller,Core Transaction Engine,Critical,Production,Ops-Team-1,True,EDR-Falcon
CSE-05-AST-004,CSE-05,Database Server,Core Transaction Engine,Critical,Production,Ops-Team-2,True,EDR-Falcon
CSE-05-AST-005,CSE-05,Database Server,Core Transaction Engine,Critical,Production,Ops-Team-3,True,EDR-Falcon
CSE-05-AST-006,CSE-05,Database Server,Core Transaction Engine,High,Production,Ops-Team-1,True,EDR-Falcon
CSE-05-AST-007,CSE-05,Workstation,Core Transaction Engine,High,Production,Ops-Team-2,True,EDR-Falcon
CSE-05-AST-008,CSE-05,Workstation,Core Transaction Engine,High,Production,Ops-Team-3,True,EDR-Falcon
CSE-05-AST-009,CSE-05,Workstation,Core Transaction Engine,High,Production,Ops-Team-1,True,EDR-Falcon
CSE-05-AST-010,CSE-05,Workstation,Core Transaction Engine,High,Production,Ops-Team-2,True,EDR-Falcon
CSE-05-AST-011,CSE-05,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-3,True,EDR-Falcon
CSE-05-AST-012,CSE-05,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-1,True,EDR-Falcon
CSE-05-AST-013,CSE-05,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-2,True,EDR-Falcon
CSE-05-AST-014,CSE-05,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-3,True,EDR-Falcon
CSE-05-AST-015,CSE-05,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-1,True,EDR-Falcon
CSE-06-AST-001,CSE-06,SCADA Controller,Grid Balancing,Critical,Production,Ops-Team-2,True,EDR-Falcon
CSE-06-AST-002,CSE-06,SCADA Controller,Grid Balancing,Critical,Production,Ops-Team-3,True,EDR-Falcon
CSE-06-AST-003,CSE-06,SCADA Controller,Grid Balancing,Critical,Production,Ops-Team-1,True,EDR-Falcon
CSE-06-AST-004,CSE-06,Database Server,Grid Balancing,Critical,Production,Ops-Team-2,True,EDR-Falcon
CSE-06-AST-005,CSE-06,Database Server,Grid Balancing,Critical,Production,Ops-Team-3,True,EDR-Falcon
CSE-06-AST-006,CSE-06,Database Server,Grid Balancing,High,Production,Ops-Team-1,True,EDR-Falcon
CSE-06-AST-007,CSE-06,Workstation,Grid Balancing,High,Production,Ops-Team-2,True,EDR-Falcon
CSE-06-AST-008,CSE-06,Workstation,Grid Balancing,High,Production,Ops-Team-3,True,EDR-Falcon
CSE-06-AST-009,CSE-06,Workstation,Grid Balancing,High,Production,Ops-Team-1,True,EDR-Falcon
CSE-06-AST-010,CSE-06,Workstation,Grid Balancing,High,Production,Ops-Team-2,True,EDR-Falcon
CSE-06-AST-011,CSE-06,Workstation,Grid Balancing,Medium,Production,Ops-Team-3,True,EDR-Falcon
CSE-06-AST-012,CSE-06,Workstation,Grid Balancing,Medium,Production,Ops-Team-1,True,EDR-Falcon
CSE-06-AST-013,CSE-06,Workstation,Grid Balancing,Medium,Production,Ops-Team-2,True,EDR-Falcon
CSE-06-AST-014,CSE-06,Workstation,Grid Balancing,Medium,Production,Ops-Team-3,True,EDR-Falcon
CSE-06-AST-015,CSE-06,Workstation,Grid Balancing,Medium,Production,Ops-Team-1,True,EDR-Falcon
CSE-07-AST-001,CSE-07,SCADA Controller,Core Transaction Engine,Critical,Production,Ops-Team-2,True,EDR-Falcon
CSE-07-AST-002,CSE-07,SCADA Controller,Core Transaction Engine,Critical,Production,Ops-Team-3,True,EDR-Falcon
CSE-07-AST-003,CSE-07,SCADA Controller,Core Transaction Engine,Critical,Production,Ops-Team-1,True,EDR-Falcon
CSE-07-AST-004,CSE-07,Database Server,Core Transaction Engine,Critical,Production,Ops-Team-2,True,EDR-Falcon
CSE-07-AST-005,CSE-07,Database Server,Core Transaction Engine,Critical,Production,Ops-Team-3,True,EDR-Falcon
CSE-07-AST-006,CSE-07,Database Server,Core Transaction Engine,High,Production,Ops-Team-1,True,EDR-Falcon
CSE-07-AST-007,CSE-07,Workstation,Core Transaction Engine,High,Production,Ops-Team-2,True,EDR-Falcon
CSE-07-AST-008,CSE-07,Workstation,Core Transaction Engine,High,Production,Ops-Team-3,True,EDR-Falcon
CSE-07-AST-009,CSE-07,Workstation,Core Transaction Engine,High,Production,Ops-Team-1,True,EDR-Falcon
CSE-07-AST-010,CSE-07,Workstation,Core Transaction Engine,High,Production,Ops-Team-2,True,EDR-Falcon
CSE-07-AST-011,CSE-07,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-3,True,EDR-Falcon
CSE-07-AST-012,CSE-07,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-1,True,EDR-Falcon
CSE-07-AST-013,CSE-07,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-2,True,EDR-Falcon
CSE-07-AST-014,CSE-07,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-3,True,EDR-Falcon
CSE-07-AST-015,CSE-07,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-1,True,EDR-Falcon
CSE-08-AST-001,CSE-08,SCADA Controller,Core Transaction Engine,Critical,Production,Ops-Team-2,True,EDR-Falcon
CSE-08-AST-002,CSE-08,SCADA Controller,Core Transaction Engine,Critical,Production,Ops-Team-3,True,EDR-Falcon
CSE-08-AST-003,CSE-08,SCADA Controller,Core Transaction Engine,Critical,Production,Ops-Team-1,True,EDR-Falcon
CSE-08-AST-004,CSE-08,Database Server,Core Transaction Engine,Critical,Production,Ops-Team-2,True,EDR-Falcon
CSE-08-AST-005,CSE-08,Database Server,Core Transaction Engine,Critical,Production,Ops-Team-3,True,EDR-Falcon
CSE-08-AST-006,CSE-08,Database Server,Core Transaction Engine,High,Production,Ops-Team-1,True,EDR-Falcon
CSE-08-AST-007,CSE-08,Workstation,Core Transaction Engine,High,Production,Ops-Team-2,True,EDR-Falcon
CSE-08-AST-008,CSE-08,Workstation,Core Transaction Engine,High,Production,Ops-Team-3,True,EDR-Falcon
CSE-08-AST-009,CSE-08,Workstation,Core Transaction Engine,High,Production,Ops-Team-1,True,EDR-Falcon
CSE-08-AST-010,CSE-08,Workstation,Core Transaction Engine,High,Production,Ops-Team-2,True,EDR-Falcon
CSE-08-AST-011,CSE-08,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-3,True,EDR-Falcon
CSE-08-AST-012,CSE-08,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-1,True,EDR-Falcon
CSE-08-AST-013,CSE-08,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-2,True,EDR-Falcon
CSE-08-AST-014,CSE-08,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-3,True,EDR-Falcon
CSE-08-AST-015,CSE-08,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-1,True,EDR-Falcon
CSE-09-AST-001,CSE-09,SCADA Controller,Grid Balancing,Critical,Production,Ops-Team-2,True,EDR-Falcon
CSE-09-AST-002,CSE-09,SCADA Controller,Grid Balancing,Critical,Production,Ops-Team-3,True,EDR-Falcon
CSE-09-AST-003,CSE-09,SCADA Controller,Grid Balancing,Critical,Production,Ops-Team-1,True,EDR-Falcon
CSE-09-AST-004,CSE-09,Database Server,Grid Balancing,Critical,Production,Ops-Team-2,True,EDR-Falcon
CSE-09-AST-005,CSE-09,Database Server,Grid Balancing,Critical,Production,Ops-Team-3,True,EDR-Falcon
CSE-09-AST-006,CSE-09,Database Server,Grid Balancing,High,Production,Ops-Team-1,True,EDR-Falcon
CSE-09-AST-007,CSE-09,Workstation,Grid Balancing,High,Production,Ops-Team-2,True,EDR-Falcon
CSE-09-AST-008,CSE-09,Workstation,Grid Balancing,High,Production,Ops-Team-3,True,EDR-Falcon
CSE-09-AST-009,CSE-09,Workstation,Grid Balancing,High,Production,Ops-Team-1,True,EDR-Falcon
CSE-09-AST-010,CSE-09,Workstation,Grid Balancing,High,Production,Ops-Team-2,True,EDR-Falcon
CSE-09-AST-011,CSE-09,Workstation,Grid Balancing,Medium,Production,Ops-Team-3,True,EDR-Falcon
CSE-09-AST-012,CSE-09,Workstation,Grid Balancing,Medium,Production,Ops-Team-1,True,EDR-Falcon
CSE-09-AST-013,CSE-09,Workstation,Grid Balancing,Medium,Production,Ops-Team-2,True,EDR-Falcon
CSE-09-AST-014,CSE-09,Workstation,Grid Balancing,Medium,Production,Ops-Team-3,True,EDR-Falcon
CSE-09-AST-015,CSE-09,Workstation,Grid Balancing,Medium,Production,Ops-Team-1,True,EDR-Falcon
CSE-10-AST-001,CSE-10,SCADA Controller,Core Transaction Engine,Critical,Production,Ops-Team-2,True,EDR-Falcon
CSE-10-AST-002,CSE-10,SCADA Controller,Core Transaction Engine,Critical,Production,Ops-Team-3,True,EDR-Falcon
CSE-10-AST-003,CSE-10,SCADA Controller,Core Transaction Engine,Critical,Production,Ops-Team-1,True,EDR-Falcon
CSE-10-AST-004,CSE-10,Database Server,Core Transaction Engine,Critical,Production,Ops-Team-2,True,EDR-Falcon
CSE-10-AST-005,CSE-10,Database Server,Core Transaction Engine,Critical,Production,Ops-Team-3,True,EDR-Falcon
CSE-10-AST-006,CSE-10,Database Server,Core Transaction Engine,High,Production,Ops-Team-1,True,EDR-Falcon
CSE-10-AST-007,CSE-10,Workstation,Core Transaction Engine,High,Production,Ops-Team-2,True,EDR-Falcon
CSE-10-AST-008,CSE-10,Workstation,Core Transaction Engine,High,Production,Ops-Team-3,True,EDR-Falcon
CSE-10-AST-009,CSE-10,Workstation,Core Transaction Engine,High,Production,Ops-Team-1,True,EDR-Falcon
CSE-10-AST-010,CSE-10,Workstation,Core Transaction Engine,High,Production,Ops-Team-2,True,EDR-Falcon
CSE-10-AST-011,CSE-10,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-3,True,EDR-Falcon
CSE-10-AST-012,CSE-10,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-1,True,EDR-Falcon
CSE-10-AST-013,CSE-10,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-2,True,EDR-Falcon
CSE-10-AST-014,CSE-10,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-3,True,EDR-Falcon
CSE-10-AST-015,CSE-10,Workstation,Core Transaction Engine,Medium,Production,Ops-Team-1,True,EDR-Falcon
